time,event,membership_category,feedback_negative,points_in_wallet,avg_transaction_value,avg_frequency_login_days,past_complaint,gender,region_category,age
473,1,Gold Membership,1,613.53,32336.23,5.0,0,F,Town,47.0
722,0,Platinum Membership,0,799.88,51162.59,10.0,0,F,,22.0
861,1,Basic Membership,1,559.44,16455.71,16.0,1,F,City,33.0
9,0,Premium Membership,1,794.31,47048.3,13.0,0,M,City,29.0
470,0,Premium Membership,1,720.14,11351.67,14.0,0,F,City,53.0
114,0,Gold Membership,0,1186.1532506183032,13334.4,16.0,0,M,City,46.0
500,0,Silver Membership,0,713.39,54632.16,7.0,1,M,City,10.0
743,0,Platinum Membership,1,754.97,32816.52,,0,F,City,23.0
208,1,Silver Membership,1,611.04,27616.98,13.0,1,F,Town,33.0
1090,1,No Membership,1,700.95,28930.97,13.0,0,F,City,62.0
719,1,No Membership,1,567.21,4899.86,26.0,0,M,City,12.0
479,1,No Membership,1,688.26,14783.49,29.0,1,F,City,16.0
268,0,Silver Membership,1,,17272.99,28.0,0,F,Town,13.0
678,1,No Membership,1,629.11,10042.8,18.0,0,M,Village,40.0
540,0,Platinum Membership,1,,29271.35,8.0,1,M,Town,61.0
476,1,Silver Membership,1,715.62,23303.36,,0,M,Town,55.0
275,1,Gold Membership,1,702.28,38068.25,,0,M,,45.0
245,1,No Membership,1,639.62,32841.53,24.0,1,F,,43.0
955,0,Premium Membership,0,788.97,78035.97,5.0,0,M,Village,28.0
616,1,Silver Membership,1,719.43,41362.75,24.0,0,F,,57.0
299,1,Basic Membership,1,618.83,2305.76,20.0,1,M,City,21.0
289,0,Platinum Membership,1,1187.1143411328014,29271.94,7.0,0,M,City,61.0
721,1,Basic Membership,1,1151.3618480164346,5747.77,25.0,1,M,Town,20.0
115,1,No Membership,1,609.65,47086.63,,0,F,Town,61.0
490,1,Gold Membership,1,682.72,38783.6,29.0,1,M,Town,15.0
794,1,Gold Membership,1,638.82,1908.53,25.0,1,M,Town,24.0
679,0,Gold Membership,1,719.8,48774.77,16.0,0,F,City,21.0
30,0,Platinum Membership,1,,36272.18,20.0,0,M,Town,39.0
678,1,Basic Membership,1,240.3611614279976,40603.67,6.0,0,F,City,19.0
38,1,Basic Membership,1,638.71,20236.88,9.0,0,M,,50.0
838,1,Basic Membership,1,518.79,46993.71,17.0,1,M,City,22.0
384,1,No Membership,1,664.46,48305.46,6.0,1,F,,33.0
979,1,Basic Membership,1,500.04,25288.13,,1,F,City,48.0
542,1,No Membership,1,545.72,36009.03,20.0,1,M,Town,41.0
912,0,Premium Membership,1,397.6293440238707,14521.39,17.0,0,M,Town,33.0
866,0,Platinum Membership,0,827.79,43366.03,16.0,1,M,Village,33.0
461,0,Platinum Membership,1,756.59,11078.66,,1,F,City,20.0
942,0,Premium Membership,1,730.9005460066878,2958.38,18.0,0,F,Town,35.0
876,1,Silver Membership,1,626.43,3553.1,7.0,0,F,,43.0
344,1,Basic Membership,1,912.1752074648005,33934.77,25.0,0,F,City,32.0
749,1,No Membership,1,700.49,32984.89,9.0,1,F,City,25.0
913,0,Premium Membership,1,713.56,28771.55,11.0,1,M,,49.0
88,1,No Membership,1,505.94,14872.62,19.0,0,F,,21.0
1092,1,Silver Membership,1,373.340437026436,28564.2,15.0,1,M,City,39.0
146,1,Basic Membership,1,,21897.68,19.0,0,M,City,23.0
728,0,Gold Membership,1,,46568.29,12.0,0,F,,24.0
605,0,Platinum Membership,1,710.45,36785.61,21.0,1,M,Town,57.0
749,1,Basic Membership,1,,914.85,,1,F,,64.0
334,0,Premium Membership,1,754.34,10550.44,19.0,0,F,City,27.0
597,1,No Membership,1,693.22,2652.93,,1,M,Town,13.0
53,0,Platinum Membership,1,733.42,9803.84,21.0,1,F,City,18.0
1003,0,Premium Membership,1,700.79,42230.83,21.0,1,M,,16.0
1063,0,Gold Membership,1,728.93,29494.77,,0,M,Town,64.0
85,1,No Membership,1,686.9,32662.86,11.0,1,M,Town,28.0
1071,0,Silver Membership,1,708.34,26281.7,5.0,1,F,,14.0
168,1,No Membership,1,,1535.14,18.0,1,M,City,21.0
949,1,No Membership,1,683.02,13200.72,23.0,0,F,City,41.0
671,0,Platinum Membership,0,749.25,90243.95,6.0,1,F,City,23.0
78,0,Silver Membership,1,785.33,45656.74,24.0,1,M,Town,39.0
638,1,No Membership,1,708.55,21688.06,15.0,1,F,Town,44.0
379,0,Silver Membership,0,,34366.03,3.0,0,M,City,48.0
322,1,Basic Membership,1,640.49,20601.87,7.0,1,F,,39.0
785,0,Gold Membership,1,738.92,17017.28,,1,M,City,16.0
404,0,Premium Membership,1,,44847.92,16.0,0,M,City,33.0
1067,0,Premium Membership,1,1099.0610864849357,43285.98,16.0,0,M,Village,35.0
672,1,Gold Membership,1,657.49,1114.51,11.0,1,F,Town,19.0
795,1,No Membership,1,559.69,6566.42,26.0,0,F,City,54.0
965,0,Platinum Membership,0,799.02,47884.91,,0,F,Town,49.0
454,0,Platinum Membership,1,775.58,31741.22,,1,F,City,44.0
965,0,Platinum Membership,1,793.58,16394.9,25.0,1,M,City,16.0
249,1,No Membership,1,973.4070152436992,17362.06,14.0,1,M,City,53.0
580,1,Gold Membership,1,648.88,17383.12,21.0,0,F,,21.0
524,1,No Membership,1,674.05,6994.41,9.0,1,M,,16.0
207,1,No Membership,1,,21880.46,14.0,1,F,City,49.0
112,0,Platinum Membership,0,1517.5705553576663,56219.4,7.0,0,F,,44.0
738,0,Platinum Membership,1,,5380.46,20.0,1,F,Town,33.0
382,0,Premium Membership,1,774.91,3830.38,11.0,0,M,Town,58.0
911,1,No Membership,1,577.71,46007.95,27.0,1,F,Village,10.0
405,1,Silver Membership,1,680.6,43489.68,17.0,0,M,City,37.0
1010,1,Gold Membership,1,627.59,42473.0,22.0,1,M,City,25.0
917,1,No Membership,1,618.48,19978.92,19.0,1,F,Town,11.0
785,1,No Membership,1,638.1,37764.79,6.0,0,M,City,49.0
40,1,No Membership,1,513.71,29916.45,14.0,0,F,,52.0
255,1,Basic Membership,1,702.84,29664.34,15.0,0,F,City,43.0
836,1,No Membership,1,602.67,1191.7,9.0,0,M,,40.0
211,0,Premium Membership,0,788.31,96597.34,16.0,1,M,Town,52.0
1007,1,Basic Membership,1,687.0,11290.39,12.0,0,F,Town,53.0
727,1,Basic Membership,1,706.49,13991.6,23.0,0,M,City,22.0
49,1,No Membership,1,666.7,16202.81,,0,F,City,55.0
366,1,Gold Membership,1,639.96,12749.26,19.0,1,M,Town,62.0
1050,1,No Membership,1,534.55,6130.66,21.0,1,F,City,32.0
757,0,Gold Membership,1,,28860.42,9.0,0,F,Town,55.0
48,1,Gold Membership,1,639.62,5204.2,23.0,0,M,Town,46.0
723,1,No Membership,1,,24937.96,22.0,0,F,City,55.0
814,0,Premium Membership,1,721.11,47853.17,25.0,0,M,,50.0
728,0,Gold Membership,1,767.07,38929.77,,1,F,City,54.0
134,1,Basic Membership,1,624.09,15602.69,26.0,1,F,Town,24.0
796,0,Premium Membership,0,779.55,17309.24,10.0,1,M,Village,52.0
814,1,Gold Membership,1,613.69,31454.48,11.0,0,F,City,23.0
224,1,Gold Membership,1,689.54,35980.68,26.0,1,F,City,34.0
491,1,No Membership,1,613.17,10728.08,23.0,1,F,Town,13.0
145,0,Platinum Membership,1,762.92,5033.18,13.0,1,F,Village,51.0
280,1,Basic Membership,1,659.81,14841.91,13.0,0,M,Village,11.0
1015,1,Silver Membership,1,675.76,49165.25,20.0,0,F,Town,55.0
813,1,No Membership,1,512.16,38097.45,5.0,1,M,Village,38.0
956,1,Silver Membership,1,614.67,30779.07,29.0,1,M,City,64.0
502,1,No Membership,1,645.88,34610.38,10.0,1,M,,32.0
94,1,Basic Membership,1,657.75,12912.31,,1,M,Town,52.0
809,1,No Membership,1,,28924.11,24.0,1,F,City,48.0
79,1,No Membership,1,690.39,34239.79,26.0,0,F,City,22.0
667,0,Platinum Membership,1,,42050.9,23.0,0,M,Town,24.0
40,1,Basic Membership,1,676.78,12677.78,20.0,0,M,Town,12.0
338,0,Premium Membership,1,409.37061796618616,7511.78,14.0,0,M,City,33.0
112,1,No Membership,1,594.51,26452.92,19.0,1,M,Village,47.0
1001,0,Gold Membership,1,791.57,24441.0,17.0,0,M,City,64.0
2,1,Basic Membership,1,512.48,12021.72,23.0,0,M,City,42.0
71,1,No Membership,1,524.49,12548.77,21.0,1,F,City,47.0
329,1,Basic Membership,1,709.42,33966.32,27.0,0,M,Village,50.0
153,1,Gold Membership,1,705.28,16433.02,,1,F,Town,13.0
484,1,No Membership,1,1052.0608732103144,28900.2,14.0,1,F,Town,47.0
891,0,Platinum Membership,1,767.39,1454.53,6.0,1,F,City,34.0
664,1,No Membership,1,,39904.18,27.0,1,M,City,59.0
746,0,Platinum Membership,1,789.21,6102.8,25.0,0,M,Town,47.0
628,0,Silver Membership,0,760.64,83213.78,9.0,0,F,Village,40.0
375,0,Platinum Membership,0,788.64,92164.01,13.0,1,M,Town,11.0
936,0,Silver Membership,1,722.88,21942.01,12.0,1,F,,61.0
223,0,Platinum Membership,0,734.27,74663.76,2.0,0,M,City,32.0
1003,1,Basic Membership,1,621.55,38571.09,13.0,1,M,,55.0
660,1,No Membership,1,501.9,14041.01,7.0,0,F,City,59.0
108,1,Basic Membership,1,596.96,15439.33,25.0,1,M,City,15.0
682,0,Gold Membership,1,710.64,19963.59,24.0,1,F,,11.0
1056,1,Gold Membership,1,144.9105348674625,40106.86,20.0,0,F,Town,58.0
925,0,Premium Membership,0,775.82,39584.15,10.0,1,M,Village,47.0
500,1,Gold Membership,1,718.0,38104.44,14.0,1,F,Town,22.0
610,0,Premium Membership,1,766.2,23437.91,29.0,1,M,City,38.0
667,0,Premium Membership,1,726.72,36742.61,8.0,1,F,Town,32.0
404,1,No Membership,1,633.35,42547.97,13.0,0,F,Village,58.0
450,0,Premium Membership,1,719.4,39366.81,20.0,1,F,Town,40.0
406,0,Silver Membership,1,517.9090902132605,9872.66,15.0,0,F,Village,60.0
163,1,Gold Membership,1,609.16,12772.24,,0,F,City,43.0
378,0,Platinum Membership,1,,27254.86,27.0,0,F,City,15.0
547,1,Gold Membership,1,1143.99913781881,11930.58,26.0,0,F,City,58.0
1091,1,Basic Membership,1,627.84,46460.13,17.0,1,F,,39.0
370,1,Basic Membership,1,1170.4550066594886,41473.14,19.0,1,M,Village,33.0
21,1,Basic Membership,1,645.58,2514.15,22.0,0,F,City,51.0
273,0,Gold Membership,1,,24828.53,18.0,1,M,Town,29.0
1093,1,Gold Membership,1,,41547.45,,1,F,City,30.0
482,1,No Membership,1,613.3,49657.22,9.0,1,M,Village,33.0
36,1,Basic Membership,1,608.51,25665.56,12.0,1,F,Town,22.0
1071,0,Premium Membership,1,799.48,6532.81,11.0,0,F,City,27.0
652,1,Basic Membership,1,630.61,40603.8,20.0,0,F,Village,50.0
606,0,Gold Membership,1,775.61,47840.96,22.0,1,F,City,12.0
948,0,Premium Membership,0,735.86,7934.99,16.0,1,F,Town,27.0
1006,1,Basic Membership,1,173.65887512683514,10794.13,15.0,1,M,City,27.0
269,0,Platinum Membership,1,736.41,5410.83,,0,M,City,11.0
33,1,No Membership,1,305.4271250287485,46666.61,6.0,0,F,,62.0
984,1,Basic Membership,1,,14360.85,7.0,1,M,,37.0
14,1,No Membership,1,392.352778041725,18733.17,,0,M,Town,43.0
1053,1,Gold Membership,1,684.65,44668.9,9.0,1,F,City,58.0
28,1,Basic Membership,1,649.01,29688.18,11.0,1,M,Town,58.0
1083,1,Silver Membership,1,600.62,13795.08,19.0,1,M,Town,31.0
730,0,Silver Membership,1,765.42,18837.18,29.0,0,F,City,41.0
683,1,Basic Membership,1,,17100.06,22.0,1,F,Town,40.0
789,0,Premium Membership,0,776.42,22346.95,8.0,1,F,Town,56.0
482,1,No Membership,1,587.31,13006.02,24.0,0,M,City,18.0
480,0,Gold Membership,1,776.66,40480.86,23.0,1,M,Town,62.0
603,0,Silver Membership,1,,33870.09,,1,F,,51.0
624,1,Basic Membership,1,1015.5566392692424,34699.31,20.0,0,F,Village,41.0
780,1,Basic Membership,1,513.14,28827.78,9.0,1,M,Town,50.0
29,1,No Membership,1,603.57,23548.16,18.0,0,M,Village,17.0
1092,0,Silver Membership,1,717.49,46672.51,,0,F,Village,13.0
114,0,Platinum Membership,0,793.48,69134.47,18.0,0,F,Village,35.0
520,0,Premium Membership,1,707.6,37083.8,27.0,1,F,Town,39.0
596,0,Silver Membership,1,749.0,4790.13,29.0,1,F,Town,14.0
192,1,Basic Membership,1,558.19,11425.48,,1,F,City,31.0
237,1,No Membership,1,283.83106970738436,3114.65,24.0,0,M,Town,35.0
868,1,Basic Membership,1,590.66,4824.94,27.0,0,M,Town,40.0
205,0,Gold Membership,1,796.21,34840.96,,1,F,Town,48.0
24,0,Platinum Membership,0,776.07,20329.72,16.0,0,F,City,51.0
224,1,Silver Membership,1,,40032.69,9.0,0,F,City,11.0
405,1,Silver Membership,1,653.62,46366.82,27.0,0,F,Town,22.0
631,1,No Membership,1,33.57771416668595,7283.84,24.0,0,F,City,33.0
612,1,No Membership,1,621.46,26888.15,50.238262125624374,1,F,Town,39.0
11,1,No Membership,1,715.34,23372.1,,0,M,,40.0
962,0,Gold Membership,0,769.32,56796.48,4.0,0,F,Town,42.0
335,1,Basic Membership,1,671.07,36788.23,27.0,1,F,Town,35.0
605,0,Platinum Membership,0,847.86,58679.41,11.0,0,F,Town,36.0
279,0,Premium Membership,0,773.28,99410.16,11.0,0,F,City,12.0
926,0,Platinum Membership,1,753.23,32444.93,12.0,0,M,Town,52.0
273,0,Premium Membership,1,,17823.47,12.0,1,M,City,44.0
942,1,Basic Membership,1,652.84,37982.26,15.0,0,M,Town,43.0
410,1,Basic Membership,1,282.77086536066514,5600.83,34.54465132090796,0,M,Town,58.0
961,1,No Membership,1,666.86,45718.0,29.0,1,F,City,59.0
813,0,Platinum Membership,0,,29983.86,14.0,1,F,Town,28.0
347,0,Gold Membership,1,746.96,38537.64,23.0,1,M,City,44.0
187,1,No Membership,1,608.6,25368.87,28.0,0,F,City,29.0
335,0,Premium Membership,1,780.95,35825.77,29.0,0,F,,15.0
339,0,Premium Membership,1,765.47,7270.76,14.0,1,M,Town,60.0
442,1,No Membership,1,690.45,23301.27,29.0,0,F,Town,40.0
267,0,Premium Membership,0,803.85,18903.4,3.0,0,F,City,13.0
402,1,Basic Membership,1,622.01,10654.07,17.0,1,F,,50.0
243,0,Silver Membership,1,703.33,6806.83,13.0,1,F,City,13.0
321,0,Platinum Membership,1,712.01,26923.54,23.0,1,M,Town,56.0
643,0,Gold Membership,0,729.26,28334.39,10.0,0,F,,30.0
606,1,Silver Membership,1,639.26,27372.85,16.0,1,F,Town,42.0
492,0,Gold Membership,1,767.73,17123.96,7.0,1,M,City,62.0
27,1,Basic Membership,1,693.56,15601.31,14.0,1,F,City,11.0
937,1,Basic Membership,1,952.4693267926104,43181.25,6.013012341072532,1,F,Village,52.0
926,1,Silver Membership,1,634.96,31107.75,28.0,0,M,City,45.0
529,0,Silver Membership,1,711.78,12159.85,28.0,1,M,,45.0
914,1,No Membership,1,550.41,34772.24,17.0,0,F,Town,24.0
379,1,Basic Membership,1,660.22,18421.6,7.0,1,M,City,30.0
573,1,No Membership,1,667.79,17343.36,27.0,1,M,,63.0
295,0,Premium Membership,0,319.6276318377911,99582.07,,0,M,City,33.0
707,1,Basic Membership,1,684.11,46372.15,28.0,0,M,Town,23.0
496,0,Gold Membership,0,769.05,78651.51,12.0,0,F,Town,46.0
844,1,Basic Membership,1,626.17,16682.64,9.0,0,M,City,50.0
103,0,Gold Membership,0,829.47,8776.21,,0,F,Town,36.0
326,1,Gold Membership,1,658.3,15993.94,22.0,0,M,Town,16.0
428,1,Basic Membership,1,667.83,41195.14,38.92795685947435,0,F,Town,46.0
927,0,Gold Membership,1,776.07,30487.53,24.0,1,F,Town,18.0
1003,0,Silver Membership,1,710.42,47966.97,17.0,0,F,City,17.0
54,1,Gold Membership,1,1064.3843875807622,39813.59,18.0,0,M,Town,28.0
490,1,No Membership,1,715.31,31896.3,13.0,1,F,,19.0
377,0,Premium Membership,1,717.45,25744.11,27.0,1,F,Village,28.0
66,1,No Membership,1,691.58,23772.39,21.0,1,M,Town,60.0
1069,1,No Membership,1,627.02,30072.76,18.0,1,M,Village,64.0
208,1,No Membership,1,701.54,27076.16,9.0,1,F,Town,26.0
664,0,Silver Membership,1,770.71,6711.67,29.0,1,M,Town,39.0
708,0,Silver Membership,0,739.18,91456.04,11.0,0,M,Town,63.0
569,1,Basic Membership,1,641.64,41110.76,27.0,0,M,City,31.0
677,1,Basic Membership,1,881.8037163157229,31467.16,,1,F,Town,53.0
1088,1,Basic Membership,1,718.71,20451.58,,1,F,City,54.0
1022,1,Gold Membership,1,677.12,33889.91,24.0,0,F,City,46.0
581,1,Basic Membership,1,626.6,28258.61,13.0,0,M,Town,37.0
36,0,Silver Membership,1,760.48,7173.74,37.35140132416021,0,F,,38.0
1016,1,Basic Membership,1,534.97,46759.75,18.0,1,F,Town,35.0
1051,0,Silver Membership,1,,49137.2,5.0,0,F,Town,46.0
249,0,Premium Membership,1,723.32,21302.25,22.0,1,M,,49.0
150,1,No Membership,1,679.05,3265.03,21.0,1,F,Town,57.0
458,0,Gold Membership,0,705.36,4307.64,16.0,1,F,Town,58.0
229,1,No Membership,1,298.35153037838904,11518.27,17.0,1,M,Town,32.0
588,1,Basic Membership,1,614.39,5119.5,13.0,1,M,,29.0
563,1,Silver Membership,1,671.93,21510.28,28.0,0,M,,29.0
151,1,No Membership,1,,6430.15,,1,F,City,27.0
569,0,Gold Membership,1,792.22,36681.12,10.0,1,F,,43.0
265,1,No Membership,1,147.0856046586356,12813.07,9.0,1,M,Village,44.0
612,1,No Membership,1,546.57,7624.28,18.0,1,F,City,18.0
972,0,Platinum Membership,1,717.04,22911.16,13.0,1,F,Town,54.0
945,1,Basic Membership,1,615.23,49455.13,11.0,0,F,City,29.0
493,0,Gold Membership,0,190.674436049105,98993.32,2.0,1,F,Town,33.0
704,0,Silver Membership,1,726.53,26463.53,6.0,1,M,Town,46.0
871,1,Basic Membership,1,693.72,28419.46,24.0,1,F,Village,12.0
453,1,Gold Membership,1,697.12,9936.8,20.0,1,F,Town,42.0
393,1,No Membership,1,547.32,37027.71,15.0,1,M,City,35.0
543,0,Platinum Membership,0,1104.8562734697634,40458.75,13.0,0,F,City,58.0
31,0,Gold Membership,1,793.4,34205.47,12.0,1,M,Village,45.0
573,0,Silver Membership,1,755.21,36834.97,29.0,0,F,Town,15.0
504,0,Gold Membership,1,771.97,24673.05,11.0,0,M,City,36.0
776,0,Gold Membership,1,,17673.69,16.0,0,M,City,21.0
101,1,Gold Membership,1,691.27,49019.46,23.0,0,F,Village,16.0
169,1,No Membership,1,599.32,49965.86,,0,M,Town,27.0
78,1,Basic Membership,1,148.4887480313126,48798.64,,0,F,City,36.0
506,0,Silver Membership,1,730.4,48109.84,16.0,0,F,Town,61.0
874,0,Platinum Membership,0,810.44,2764.5,19.0,0,M,Town,32.0
544,1,No Membership,1,660.25,37449.15,9.0,1,F,City,36.0
721,0,Gold Membership,1,726.67,40444.58,16.0,0,F,Town,47.0
341,1,Basic Membership,1,858.1503969187959,30199.87,,0,F,City,44.0
939,0,Platinum Membership,1,755.8,30511.38,16.0,0,F,Town,46.0
789,0,Silver Membership,1,,16954.55,18.0,0,M,Town,58.0
154,1,Silver Membership,1,,47096.83,28.0,0,F,City,46.0
365,0,Gold Membership,1,769.41,24764.98,18.0,0,M,Town,24.0
371,0,Platinum Membership,1,,37902.18,12.0,0,F,City,49.0
600,0,Platinum Membership,1,1186.0263036311294,34406.43,14.0,0,F,City,34.0
382,0,Premium Membership,0,780.63,46997.91,,0,M,Village,53.0
215,0,Premium Membership,1,799.13,14151.25,16.0,1,M,,25.0
211,1,No Membership,1,681.42,7504.92,13.0,0,M,Town,28.0
686,1,Basic Membership,1,579.22,46953.59,,1,M,Town,47.0
452,0,Gold Membership,1,794.25,35912.36,21.0,0,M,,17.0
644,0,Gold Membership,1,722.64,26964.1,15.0,1,M,Town,48.0
614,0,Gold Membership,1,738.45,46207.09,12.0,1,F,City,36.0
619,0,Platinum Membership,1,771.99,16462.5,40.70053302197731,1,M,Town,34.0
920,1,Silver Membership,1,712.39,19791.35,23.0,0,F,,57.0
704,1,Gold Membership,1,606.12,33937.44,19.0,1,M,City,10.0
818,1,No Membership,1,677.93,44073.64,10.0,1,F,Town,46.0
581,0,Gold Membership,1,724.71,48319.02,,0,M,Town,16.0
928,0,Silver Membership,1,770.75,9365.9,24.0,0,F,Town,37.0
556,1,No Membership,1,540.97,28090.94,,0,F,Town,44.0
927,1,No Membership,1,86.17744096263105,28336.39,5.0,0,F,Town,45.0
691,0,Gold Membership,0,837.88,18443.65,9.0,1,M,Village,36.0
209,0,Silver Membership,1,,48741.94,40.67277742191269,1,F,City,42.0
426,1,Basic Membership,1,944.575347648656,9233.55,11.0,1,M,Town,11.0
760,0,Premium Membership,1,732.43,17295.18,13.0,1,M,Town,64.0
65,1,Basic Membership,1,612.25,40806.5,26.0,0,F,Town,46.0
54,1,No Membership,1,504.02,13264.13,14.0,1,M,City,63.0
877,0,Premium Membership,0,838.9,73063.54,18.0,0,F,Town,55.0
832,0,Silver Membership,1,707.21,13469.33,23.0,0,M,Town,56.0
1074,0,Silver Membership,0,726.61,29975.54,,1,M,,58.0
111,1,No Membership,1,579.81,25858.2,12.0,0,M,Town,44.0
475,0,Gold Membership,1,732.74,13269.29,13.0,0,F,Town,12.0
570,1,Basic Membership,1,,36571.22,11.0,0,M,Village,23.0
176,1,Basic Membership,1,666.97,44393.72,7.0,1,F,Town,54.0
978,1,No Membership,1,538.21,39794.02,12.0,0,F,Town,42.0
990,0,Premium Membership,0,826.79,73467.37,7.0,1,M,City,53.0
881,1,No Membership,1,502.29,3969.33,26.0,0,M,,18.0
1054,1,Basic Membership,1,553.25,9484.58,20.0,0,M,Village,56.0
107,0,Platinum Membership,0,777.86,31497.58,,0,M,Village,12.0
591,1,No Membership,1,657.55,49848.41,12.0,0,M,Village,29.0
1072,0,Silver Membership,1,783.19,43496.36,20.0,0,M,,58.0
1023,1,Silver Membership,1,611.1,2851.47,20.0,0,F,Town,20.0
590,1,Basic Membership,1,,40333.45,20.0,0,F,Town,64.0
1037,1,No Membership,1,234.5964213695944,29101.22,7.0,0,M,,62.0
740,1,Basic Membership,1,546.88,8882.49,24.0,1,F,City,52.0
179,1,Basic Membership,1,615.53,7542.74,11.0,1,M,Village,40.0
1065,1,No Membership,1,654.03,31727.93,25.0,1,M,Town,46.0
925,1,Basic Membership,1,606.63,4205.76,17.0,1,M,Town,57.0
16,1,No Membership,1,563.59,7734.58,10.0,1,F,City,45.0
452,0,Gold Membership,1,440.2000390654288,3745.2,9.0,0,M,City,42.0
905,1,Basic Membership,1,648.57,1053.17,27.0,0,F,Town,24.0
632,1,Basic Membership,1,515.15,4248.84,16.0,1,F,City,35.0
630,0,Premium Membership,1,742.85,24315.0,11.0,1,F,City,60.0
782,0,Premium Membership,0,700.73,15934.19,8.0,0,M,Town,14.0
858,1,No Membership,1,559.29,45422.18,6.0,0,M,Town,36.0
1086,0,Gold Membership,0,754.85,22563.95,3.0,0,M,Town,54.0
653,1,No Membership,1,620.09,1553.92,18.0,0,M,City,30.0
1009,1,No Membership,1,,15176.24,13.0,0,M,City,32.0
840,0,Gold Membership,1,,12792.93,6.0,1,M,City,57.0
483,0,Gold Membership,1,794.81,15853.25,18.0,0,F,City,37.0
267,1,Silver Membership,1,711.52,18067.58,11.0,1,M,Town,43.0
520,1,Gold Membership,1,675.3,10792.38,11.0,0,F,Town,27.0
714,1,Basic Membership,1,,9735.16,,1,M,,18.0
117,0,Premium Membership,1,,5912.31,27.0,0,M,Town,17.0
830,1,Silver Membership,1,1087.1249814720843,3763.93,16.0,1,F,,57.0
843,1,Silver Membership,1,1205.1992074319191,33001.38,6.0,0,M,Town,58.0
170,1,Silver Membership,1,602.32,41262.33,20.0,0,M,City,45.0
1093,0,Premium Membership,0,1139.104053386825,99067.65,4.0,1,M,Town,35.0
148,0,Premium Membership,1,791.72,24489.85,5.0,1,F,Town,30.0
372,1,No Membership,1,669.29,44426.97,,1,F,City,62.0
15,0,Silver Membership,1,741.09,43485.05,27.0,1,F,,45.0
143,0,Premium Membership,1,738.23,13772.56,17.0,1,F,Town,32.0
217,1,Silver Membership,1,875.3160107281337,40783.33,25.0,0,M,Town,45.0
1033,0,Premium Membership,1,769.3,18775.73,14.0,1,F,Town,50.0
149,0,Platinum Membership,1,787.59,42141.33,13.0,1,M,Town,38.0
679,1,Basic Membership,1,661.73,33326.02,27.0,0,M,City,13.0
561,1,No Membership,1,714.99,39546.89,17.0,1,M,,30.0
274,0,Premium Membership,1,,27798.14,26.0,1,M,Town,18.0
624,1,Basic Membership,1,64.26452939546073,11081.13,22.0,1,M,City,34.0
11,1,Basic Membership,1,507.16,11327.86,28.0,0,F,Town,17.0
130,1,Basic Membership,1,1191.9889738854374,49815.89,18.0,0,M,City,32.0
121,1,No Membership,1,661.57,23207.37,27.0,1,M,Town,10.0
171,1,Gold Membership,1,626.27,34986.61,10.0,1,M,Town,38.0
669,0,Premium Membership,0,771.13,88321.64,12.0,1,F,Town,21.0
1045,1,No Membership,1,638.03,18173.19,21.0,1,M,City,24.0
237,1,No Membership,1,611.52,36496.66,,0,M,Town,63.0
351,1,No Membership,1,624.57,24114.72,,0,M,Town,15.0
553,0,Gold Membership,1,704.05,38240.9,11.0,1,M,,53.0
430,1,Silver Membership,1,673.95,38176.38,14.0,0,F,City,20.0
892,1,No Membership,1,692.57,42676.84,,1,M,Town,38.0
677,0,Platinum Membership,0,,95291.95,12.0,1,M,Village,12.0
87,1,Gold Membership,1,646.88,41734.45,23.0,0,F,Village,42.0
104,0,Silver Membership,0,762.73,7347.67,19.0,1,M,City,50.0
31,1,No Membership,1,575.88,27688.9,16.0,1,F,Town,26.0
682,1,No Membership,1,159.48816200138668,12052.94,7.0,0,F,Village,38.0
294,0,Silver Membership,1,743.29,22302.15,26.0,0,F,,27.0
879,1,Basic Membership,1,652.33,852.75,7.0,1,M,Town,62.0
417,1,Basic Membership,1,608.45,28188.81,12.0,0,M,Town,43.0
612,0,Gold Membership,0,768.29,56662.15,,1,M,Town,25.0
203,1,No Membership,1,548.6,8525.52,13.0,1,M,,52.0
352,0,Premium Membership,1,792.62,20348.48,25.0,1,F,Town,15.0
675,0,Silver Membership,1,744.68,13358.27,19.0,0,M,Town,39.0
527,1,Basic Membership,1,548.32,14462.25,29.0,0,F,City,19.0
342,1,No Membership,1,671.25,4480.43,21.0,1,M,Town,41.0
170,0,Platinum Membership,1,765.11,31423.11,19.0,0,F,City,27.0
491,1,Basic Membership,1,,41952.51,24.0,1,F,City,45.0
763,1,Silver Membership,1,615.18,4120.13,14.0,0,M,Town,58.0
417,1,Gold Membership,1,665.39,47776.63,7.0,1,M,Town,64.0
643,0,Premium Membership,1,232.4614288207408,36446.44,17.0,0,F,,47.0
950,1,No Membership,1,503.96,21501.48,28.0,0,M,City,31.0
570,0,Silver Membership,1,750.37,11143.85,,1,M,Village,27.0
648,1,Basic Membership,1,653.36,24915.1,15.0,0,M,Town,38.0
19,0,Premium Membership,0,765.53,18560.26,16.0,0,F,City,50.0
506,0,Silver Membership,0,767.68,29427.08,3.0,1,M,Village,37.0
239,0,Platinum Membership,0,734.47,43063.21,8.0,1,F,Town,27.0
186,1,No Membership,1,544.37,49052.29,5.0,1,F,City,39.0
950,1,Silver Membership,1,700.94,4466.51,22.0,1,M,,26.0
379,0,Premium Membership,1,307.6201655685903,23962.06,,1,M,Town,45.0
399,1,No Membership,1,,44835.08,15.0,1,M,City,57.0
